reason,company,product_descrpition,brand_name,date
Listeria monocytogenes,"Gills Onions, LLC",Diced Red Onions,Gills Onions,05/2012
Listeria monocytogenes,"River Ranch Fresh Foods, LLC",Bagged Salads,"River Ranch, Farm Stand, Hy-Vee, Shurfresh, more",05/2012
Unapproved new drug,"West Coast Nutritionals, Ltd.",Drug for Erectile Dysfunction (ED),"FIRMINITE, EXTRA STRENGTH INSTANT HOT ROD, AND LIBIDRON",05/2012
Listeria monocytogenes,River Ranch Fresh Foods LLC,Bagged Salads,"River Ranch, Farm Stand, Hy-Vee, Marketside, Shurfresh, The Farmer&#39;s Market, Cross Valley, Fresh n Easy, Promark , Sysco",05/2012
Undeclared Peanuts and Wheat,"Santos Agency, Inc.","Flours, Legumes and Spices",Santos,05/2012
Salmonella,"CARIBE PRODUCE, LTD CO.",Papaya,CARIBENA,05/2012
Undeclared eggs,Bakery El Monte Sinai Corp,MAPA (Rainbow Cake),El Sinai Bakery,05/2012
May contain more than the 1 mL labeled fill volume,"Hospira, Inc.","Hydromorphone Injection, USP",Hospira,05/2012
Salmonella,Natural Balance Pet Foods,Dog Food,Natural Balance,05/2012
Deficient Thiamine,Nestle Purina PetCare,Cat Food,Purina Veterinary Diets,05/2012
Undeclared Walnuts,Whole Foods Market,Cupcakes,Whole Foods Market,05/2012
Undeclared Milk,"Jonlly Fruits, Inc.",Beverages,Jonlly,05/2012
Undeclared Milk,"Jonlly Fruits, Inc.",Beverages,Jonlly,05/2012
Salmonella,Moon Fishery (India) Pvt. Ltd,Yellowfin Tuna Strips,Moon Fishery,05/2012
Salmonella,"Solid Gold Health Products for Pets, Inc.",Dog Food,"Solid Gold WolfKing, Solid Gold WolfCub",05/2012
Water may seep into the battery compartment.,"Water Pik, Inc.",Nasal Irrigation Device,SinuSense,05/2012
Salmonella,WellPet LLC,Dog Food,Complete Health Super5Mix,05/2012
Due to possible health risk from E.coli,FunFresh Foods Inc.,Organic Cacao Nibs,FunFresh Foods World Berries,05/2012
Salmonella,Canidae Pet Foods,Dog Food,Canidae Dog,05/2012
Salmonella,Diamond Pet Foods,Dog Food,"Diamond, Country Value, Diamond Naturals, more",05/2012
Salmonella,Apex Pet Foods,Dog Food,Apex,05/2012
Listeria monocytogenes,Cleveland Beansprouts Co.,Alfalfa Sprouts,Cleveland Bean Sprout,05/2012
Salmonella,Natural Balance Pet Foods,Dog Food,Natural Balance,05/2012
"Charging base may overheat with localized melting and sparking, possibly causing fire, shock or burns.","Church &amp; Dwight Co., Inc.",Toothbrush,Spinbrush,05/2012
Undercooked chicken,H-E-B,Asian Ready-to-Eat Meals,"HE Bowl, General Joe&#39;s, H-E-B",05/2012
Possible fungal contamination,Franck&#39;s Compounding Lab,Triamcinolone acetonide P.F. 80mg/ml,Franck&#39;s,05/2012
Undeclared Almonds,Figi&#39;s Inc.,Lemon bars,Figi&#39;s,05/2012
Possible Health Risk,Smiling Hara Tempeh,Tempeh,Smiling Hara,05/2012
Listeria monocytogenes,"Henry&#39;s Farm, Inc.",Soybean Sprouts,Henry&#39;s Farm,04/2012
Salmonella,Diamond Pet Foods,Dog Food,Diamond,04/2012
Salmonella,Kaytee Pet Products,Rat and Hamster Feed,Kaytee Forti-Diet,04/2012
Salmonella,Smiling Hara,Tempeh,Smiling Hara,04/2012
Undeclared milk,Belgium&#39;s Chocolate Source,Caf&amp;eacute; Tasse Noir,Caf&amp;eacute; Tasse,04/2012
Undeclared sulfites and unapproved colors,"Fatima Brothers, Inc.",Javantri (Whole Mace),Shad,04/2012
Incorrect packaging,Feed Solutions,Poultry Feed,DuMOR,04/2012
Salmonella,Diamond Pet Foods,Dog Food,Chicken Soup for the Dog Lover&#39;s Soul,04/2012
Hostess Mix is mispackaged as Chocolate Sprinkles resulting in undeclared allergens.,"Krispak, Inc.",Candy,GFS,04/2012
Undeclared Milk,"Reser&#39;s Fine Foods, Inc.",Ham Salad/Pimento Spread,Mrs. Weaver&#39;s,04/2012
Listeria monocytogenes,"Alfa Sprouts, Inc.",Organic Sprouts,Springwater Sprouts,04/2012
The fish is uneviscerated and may pose a Clostridium botulinum hazard.,"La Star Seafood Co., Inc.",Vobla Fish,La Star Seafood Co.,04/2012
Discoloration and Small Visible Particles,American Regent,Epinephrine Injection,American Regent,04/2012
Product contains sildenafil and hydroxythiohomosildenafil,XROCK INDUSTRIES,Product Marketed as a Dietary Supplement To Support Male Sexual Performance,X-ROCK,04/2012
Carpujects syringes contain more than the 1 mL labeled fill volume,"Hospira, Inc.",Morphine Sulfate Injection,Hospira,04/2012
Listeria monocytogenes,M. E. Thompson Inc.,"Turkey &amp; Ham Sub Footlong, Italian Footlong &amp; Classic Cuban Sandwiches",Anytime Deli,04/2012
Undeclared Sulfites,Hong Lee Trading Inc.,Preserved Apricots,Peacock,04/2012
Due to possible health risk from Salmonella,Dole Fresh Vegetables,Seven Lettuces Salad,Dole,04/2012
Undeclared Peanuts,Harry and David,Premium Kansas City Style Barbeque almonds,Harry and David,04/2012
Associated with a multistate outbreak of Salmonella Bareilly infections,Moon Marine USA Corporation (also known as MMI),"Frozen raw yellowfin tuna product, labeled as Nakaochi Scrape AA or AAA",Moon Marine USA Corporation (also known as MMI),04/2012
Undeclared Milk,Mission Foods,Taco Dinner Kits,"Kroger, Winn-Dixie, Food Lion, Bottom Dollar Food",04/2012
Undeclared Soy and Milk,John B. Sanfilippo &amp; Son Inc.,Concierge Snack Nut Blend,Full Circle,04/2012
Uneviscerated fish that may be contaminated with Clostridium botulinum spores,H.C. Foods Co.,Dried Mackerel &amp; Dried Round Scad,Pacific Isles,04/2012
Undeclared Soy,John B. Sanfilippo &amp; Son Inc,Vanilla Bean &amp; Cocoa Mocha Almonds,Fisher,04/2012
"Undeclared egg, milk, treenuts and wheat",Mediterra S.A.,"Pasta, Pies, Eggplant and Garlic Spreads",Mastiha Shop,04/2012
Uneviscerated fish that may be contaminated with Clostridium botulinum spores,"Seng Ong Wholesale, Inc.",Dried Mackerel &amp; Dried Round Scad,Pacific Isles,04/2012
Uneviscerated fish that may be contaminated with Clostridium botulinum spores,"Import Foods Wholesale, Inc.","Smoked Croaker, Smoked Barracuda, Smoked Big Eye, Smoked Red Snapper",Import Foods Wholesale Inc.,04/2012
Undeclared milk,Biscomerica Corp.,"Blueberry, Boysenberry, Strawberry and Raspberry Shortbread Cookies",Knott&#39;s Berry Farm,04/2012
Product was exposed to water not intended for use in food during the production process,"Kraft Foods Group, Inc.",Cocktail Peanuts,Planters,04/2012
Due to presence of due to high levels of vitamin D,Central Garden &amp;amp; Pet Company,Baby bird Baby Macaw hand feeding formula,Kaytee exact®,04/2012
goblets may contain excessive levels of leachable lead and cadmium,Enesco LLC,Ceramic Wine Goblets,ONIM,04/2012
Undeclared treenut (Cashews),Rajbhog Foods Inc.,Vegetable Biryani,Rajbhog Foods,04/2012
Undeclared Egg,"Kwik Trip, Inc.",Donuts,Glazers,04/2012
Undeclared Milk,"Food Lion, Harveys and Reid&amp;rsquo;s stores",Hard/soft taco dinner,Food Lion,04/2012
Salmonella,Diamond Pet Foods,Lamb Meal &amp; Rice,Diamond Naturals,04/2012
Undeclared milk and almond,"TWI Foods Inc., Ontario, Canada","Pistachio cookie, Almond Cookie, Coconut Cookie &amp; Almond Cake Rusk",Crispy,04/2012
Undeclared Milk,Los Olivos LTD,&quot;Pan de Torta&quot; bread,Los Olivos,04/2012
Undeclared Eggs,Threeline Imports Inc,Kypoyka Bisquit,Kypoyka,04/2012
Consumer complaints due to allergic reactions,Odwalla Inc.,Chocolate Protein Monster beverage,Odwalla Inc.,04/2012
Undeclared Milk,Fung Shing Int&#39;l Corp.,Coconut Candy Keo Dua La Dua,Star light,04/2012
Undeclared Milk,Fung Shing Int&#39;l Corp.,Coconut Candy (Keo Dua),Star light,04/2012
crack can form on the bottom and sides of vials,Luitpold Pharmaceuticals Inc.,"Cyanocobalamin Injection, USP, (1000 mcg/mL), 1mL Vial",American Regent,04/2012
Possible fungal contamination,Franck&#39;s Compounding Lab,Triamcinolone acetonide P.F. 80mg/ml,Frank&#39;s,03/2012
Mislabeled Milk Allergen,"Creme Curls Bakery, Inc.",Cream Puffs,"Simply Enjoy, Creme Curls Bakery",03/2012
Salmonella,Castellini Company LLC,Jalapeno Peppers,Castellini,03/2012
Salmonella,Hartz Mountain Corporation,Flake Fish Food,Wardley Advanced Nutrition Perfect Protein,03/2012
Undeclared Milk Allergen,Topnotch Cookies &amp; Cakes,Cookies,Top Notch,03/2012
Undeclared Sulfites,Strong America Ltd.,Dried Potato,Golden Smell,03/2012
Salmonella,Club Chef LLC,Salsa products,"Private Selection, heinen&#39;s",03/2012
Salmonella,"South Florida Produce, LLC",Jalapeno Peppers,South Florida Produce,03/2012
Undeclared walnuts,Whole Foods Market,Mini Chocolate Chip Cookies,Whole Foods Market,03/2012
The sealed outflow graft bend relief may not properly connect to the HeartMate II LVAS,Thoratec Corporation,Left Ventricular Assist System,HeartMate II,03/2012
Listeria monocytogenes,"El Ranchero Del Sur, LLC.",Cheese,"El Ranchero Del Sur, Los Corrales",03/2012
Listeria monocytogenes,"El Ranchero Del Sur, LLC.",Cheese,"El Ranchero Del Sur, Los Corrales",03/2012
Undeclared Milk Allergen,"Troyer Cheese, Inc.",Caramel Puffcorn,Backroad Country,03/2012
Undeclared milk,McCormick &amp; Company,Beef Stew Mix,Publix,03/2012
Possible fungal contamination,Franck&#39;s Compounding Lab,Brilliant Blue G,Franck&#39;s,03/2012
Product might have an off-odor,Gerber Products Company,Gerber Good Start Gentle powdered infant formula,Gerber,03/2012
Error in labeling (does not include &quot;Decoquinate&quot; on label),Cargill Animal Nutrition,Goat Pellets,Nutrena NatureWise,03/2012
Undeclared Eggs,Price Chopper,"Apple, Blueberry, Cherry, and Peach Streusel Pies (5 inch and 8 inch)",Price Chopper,03/2012
May contain monensin sodium (Rumensin),Western Feed LLC.,Animal Feed (Kountry Buffet 14%),PAYBACK,03/2012
Unapproved new drug,"Regeneca, Inc.",Intimacy Enhancement Capsule,RegenErect,02/2012
Packaging error potentially causing incorrect dosing regimen,"Glenmark Generics, Inc.",Norgestimate and Ethinyl Estradiol Tablets USP,"Glenmark Generics, Inc.",02/2012
Visible particles were found in the product,American Regent,Phenylephrine HCl Injection USP 1%,American Regent,02/2012
Undeclared drug ingredients,Healthy People Co.,Dietary Supplements,Healthy People Co.,02/2012
Bottles may break during opening,"The Florida Brewery, Inc.",Malta beverages,"Goya, Great Value, Hatuey, more",02/2012
difficulty using the Infants TYLENOL SimpleMeasure dosing system,McNeil Consumer Healthcare,"Infants TYLENOL Oral Suspension, 1 oz. Grape",TYLENOL,02/2012
Lack of sterility assurance,Bedford Laboratories,Cytarabine for Injection USP,Bedford Laboratories,02/2012
The recalled cable may negatively affect Newport HT50 ventilators manufactured prior to 2007. Affected units may shutdown unexpectedly,"Flight Medical Innovations, Ltd.",Remote alarm cable that is used to connect Newport HT50 mechanical ventilators to nurse stations,"Flight Medical Innovations, Ltd.",02/2012
Mislabeled Milk Allergen,Walmart,Cruller Bakery Pastries,Walmart,02/2012
Unapproved new drug,"Regeneca, Inc.",Intimacy Enhancement Capsule,RegenArouse,02/2012
Undeclared Milk,Whole Foods Market,Pumpkin Bundt Cakes,Whole Foods Market,02/2012
"Non-sterile, intended for use in eyes and nose.","Wholistic Herbs, Inc.",OTC drug products,"Koff &amp; Kold, Kold Sore",02/2012
Undeclared Eggs,Summit Import Corporation,Rice Crackers,Bin-Bin,02/2012
Listeria monocytogenes,Zip International Group LLC,Sliced Herring Fillet (forelka),Zip International,02/2012
Undeclared Peanut,Kathy Kaye Foods LLC,Caramel Cob Junior &amp; Chewy Popcorn,Classic,02/2012
Kit contains recalled povidone iodine prep pads,"North American Rescue, LLC",Surgical Crichothyroidotomy Kit,Crickit,02/2012
Listeria monocytogenes,Grand Strand Sandwich Company,Chicken Salad Sandwiches,"Grand Strand, Lunch Box, Country Harvest Deli",02/2012
Undeclared peanut,Nest Collective,Snack size sandwich bars,Revolution Foods,02/2012
Undeclared drug ingredients,Healthy People Co.,Dietary supplements,Healthy People Co.,02/2012
Listeria monocytogenes,"GH Foods CA, LLC",Sandwiches,Delish,02/2012
Listeria monocytogenes,"Greencore, USA",Egg Salad Sandwiches,Quick Cafe &amp; Take Away Cafe,02/2012
Listeria monocytogenes,Allison&#39;s Gourmet Kitchens,Prepared Salads,"Allison&#39;s Gourmet Kitchens, Deli Fresh, Hill Country Fare, more",02/2012
Visible glass particle found in a vial.,Bedford Laboratories,"Acetylcysteine Solution, USP",Bedford Laboratories,02/2012
Listeria monocytogenes,"Wegmans Food Markets, Inc.",Eggs and Salads,Wegmans,02/2012
Undeclared Sulfites,S&amp;M USA Enterprise,Tremella,Zhang Zhou,02/2012
The product was found to be un-eviscerated.,"W&amp;C International Import, Inc.",Dried Yellow Croaker,Rely,02/2012
The product was found to be un-eviscerated.,"W&amp;C International Import, Inc.",Dried Yellow Croaker,Rely,02/2012
Undeclared Eggs,President Global Corporation,Rice Crackers,Bin-Bin,02/2012
Listeria monocytogenes,"Michael Foods, Inc.",Hard-Cooked Eggs,"Columbia Valley Farms, GFS, Glenview Farms, more",02/2012
Some blister packs may contain an inexact count of inert or active ingredient tablets and the tablets may be out of sequence.,"Pfizer, Inc.",Oral contraceptives,Lo/Ovral-28,01/2012
Undeclared Eggs,"Gemini Food Corporation, Tong Enterprises",Rice Crackers,Bin-Bin,01/2012
Product was incorrectly labeled as another product.,Vitaflo USA,Pediatric Medical Food,Renastart,01/2012
"Undeclared Peanut, Almond, and Soy",Walgreen Co.,Chocolate Covered Raisins,Walgreens,01/2012
Undeclared Milk,How Sweet It Is Fudge and Candy Company Inc.,Candy,How Sweet It Is,01/2012
Undeclared  Soy Protein,PINNACLE FOODS GROUP LLC,Aunt Jemima Frozen Pancakes,Aunt Jemima,01/2012
The lot exceeded bacterial specifications.,"Johnson &amp; Johnson Consumer Companies, Inc.",Lotion,AVEENO&amp;reg; BABY CALMING COMFORT&amp;reg;,01/2012
Presence of particulate matter in vial identified as glass fragments,Cephalon,Treanda (bendamustine HCL) for Injection,Cephalon,01/2012
Listeria monocytogenes,"Spartan Stores, Inc","Egg Spread, Salads",Spartan,01/2012
Listeria monocytogenes,M. E. Thompson Inc.,Turkey &amp; Ham Sub Footlong Sandwich,Anytime Deli,01/2012
Potential Contamination of Salmonella,Jones&#39; Seasoning Blends LLC,Jones&#39; Mock Salt Original &amp;  Jones&#39; Mock Salt Spicy Southwest Blend,Jones&#39;,01/2012
"potential risks associated with the Cortical Stimulator Control Unit, SSU Amplifier and related software applications",Carefusion,"Nicolet® Cortical Stimulator Control Unit, Nicolet® C64 Stimulus Switching Unit (SSU) Amplifier and NicoletOne Software with Cortical Stimulator License",Nicolet,01/2012
may contain small plastic fragments,Rich Products Corporation,8 inch Vanilla Flavored Pre-Soaked Sponge Cake Artificially Flavored,Rich Products Corporation,01/2012
Salmonella,LEASA Industries Co.,Alfalfa Sprout,LEASA,01/2012
The products are deemed unapproved new drugs under the law and U.S. Food and Drug Administration regulations and may present potential health hazards,Perfect Image Solutions LLC,Hair regrowth products (men &amp; women),Perfect Image Solutions,01/2012
Salmonella,Winn-Dixie Stores Inc.,"Brocolli Sprouts, Alfalfa Sprouts, Spicy Sprouts, Onion Sprouts",LEASA,01/2012
Listeria monocytogenes,Kradjian Imp Co,Tresse cheese and Shinglish Cheese,Cedar Tree,01/2012
"Vagifresh Gel sample contains benzocaine, the active ingredient for many anesthetic drug products. 
Vagifresh Ball sample contains bacteria including Staphylococcus lentus, S. sciuri, Bacillus lantus, Alloiococcus otitis, Aerococcus viridans, Aeromonas salmonicid, Gemella spp, Leuconostoc spp.",USA Far Ocean Group (U.S.A. Far Ocean),"Vagifresh Ball, Vagifresh Gel",Female One Series,01/2012
Undeclared Milk,JKS Wholesale SVCS Inc,Torta de Pan,JKS Wholesale SVCS Inc,01/2012
May contain shredded plastic fragments,Price Chopper Supermarkets,Shredded Taco Cheese,Coyote Joe&#39;s,01/2012
Undeclared shellfish,Rexall Inc.,Calcium 1200mg plus 1000 IU Vitamin D3 softgels,Rexall,01/2012
Potential to injure adjacent anatomical structures within the thorax that can result in post-operative complications and result in life-threatening situation,Covidien,Duet TRS Universal Straight and Articulating Single Use Loading Units for Thoracic Surgery,Covidien,01/2012
May contain plastic fragments,Price Chopper,Tres Leches cakes,Central Market Classics,01/2012
Undeclared  Soy,"Gilster-Mary Lee, Corp.",Dry Lasagna Dinner Mix,Hill Country Fare,01/2012
Undeclared  Soy,Ryt-Way,Dill Pickle Sunflower seeds,BIGS,01/2012
"Undeclared Milk, Wheat and Crab",Blount Fine Foods,Crab Soup,Blount Fine Foods,01/2012
Vials may contain visible glass particulates,Bedford Laboratories,Polymyxin B for Injection USP and Vecuronium Bromide,Bedford Laboratories,01/2012
Listeria monocytogenes,"ZIP INTERNATIONAL GROUP, LLC",Herring Fillet,"Zip International Group, LLC",01/2012
"products may contain stray tablets, capsules, or caplets from other Novartis products, or contain broken or chipped tablets",Novartis,"Bufferin Extra Strength Tablet, Bufferin Low Dose Tablets, Bufferin Regular Strength Tablets, Excedrin Back &amp; Body Caplets, Excedrin Extra Strength Caplets, Excedrin Extra Strength  Express Gel Caps, Excedrin Extra Strength  Gel Tablets, Excedrin Extra Strength  Tablets, Excedrin Migraine  Express Gel Caplets, Excedrin Migraine Caplets,  Excedrin Migraine Gel Tablets, Excedrin Migraine Tablets, Excedrin PM Caplets, Excedrin PM Express Gel Caplet, Excedrin PM Tablets, Excedrin Sinus Headache Caplets, Excedrin Tension Headache Caplets, Excedrin Tension Headache Express Gel Caplets, Excedrin Tension Headache Gel Tablets, Gas-X Prevention Caplets, NoDoz Maximum Strength Caplets","Excedrin, NoDoz, Bufferin, Gas-X",01/2012
Undeclared Eggs,Bloch&#39;s Best Inc.,Rugelach,Laromme,01/2012
Elevated levels of patulin,Pepin Heights Orchards,Honeycrisp Apple Cider,Pepin Heights,01/2012
Presence of Plastic Fragments,Rich Products Corporation,Sponge Cake,Rich Products Corporation,01/2012
Undeclared Milk and Eggs,"D. F. Stauffer Biscuit Co., Inc.",Cookies,Safeway Snack Artist,01/2012
Listeria monocytogenes,Green Valley Food Corp.,Sprouts,"Let&#39;s Grow Healthy Together, Green Valley Food Corp, Broccosprouts",01/2012
Listeria monocytogenes,Bekkum Family Farms LLC,Cheese,Nordic Creamery,01/2012
"Undeclared Milk, Wheat and Egg",Price Chopper,Gourmet Stuffed Clams,Price Chopper,01/2012
Listeria monocytogenes,Alpine Slicing and Cheese Conversion,Cheese,"HEB, El Viajero, BMF",01/2012
"Undeclared Milk, Wheat, Tree Nuts, and Eggs",Enhorabuena!,Guava Sticks,Palitos de Guayaba,01/2012
Listeria monocytogenes,Green Valley Food Corp.,Sprouts,"Let&#39;s Grow Healthy Together!, Green Valley Food Corp., Broccosprouts",12/2011
Listeria monocytogenes,Alpine Slicing and Cheese Conversion,Cheese,Brennan&#39;s Cellars,12/2011
Listeria monocytogenes,Alpine Slicing and Cheese Conversion,cheese,Edelweiss Creamery,12/2011
Defective Seal,S. Martinelli &amp; Company,Sparkling Cider,Martinelli&#39;s Gold Medal,12/2011
staphylococcus aureus and fungus,HimalayaUSA,Night Cream,Organique by Himalaya,12/2011
Listeria monocytogenes,Cedar Market,Cheese,Fromagerie Marie KadÃ¨,12/2011
Undeclared Peanuts,"Winn-Dixie Stores, Inc.",Green Beans,Winn-Dixie,12/2011
Undeclared Anchovies,"Herbadashery, LLC",Barbeque and Dipping Sauce,Pine Ridge,12/2011
Undeclared Sulfites,U.B.C Food Distributors,Apricot Candies,Baraka,12/2011
Listeria monocytogenes,Green Cedar Dairy,Cheese,Green Cedar Dairy,12/2011
E. coli 0157:H7,"Avon Heights Mushrooms, Inc.",Fresh Spinach,"Better Brand, Krisp Pak, Avon Heights",12/2011
Undeclared Soy and Wheat,"Sirocco Enterprises, Inc.",Bloody Mary Cocktail Mix,Pat O&#39;Brien&#39;s,12/2011
Listeria monocytogenes,Kradjian Imp Co,Cheese,Cedar,12/2011
Undeclared tree nuts and peanuts,"Maribel&#39;s Sweets, Inc.",Chocolate Candy,New York Handbag Collection,12/2011
Salmonella,Green Valley Food Corp.,Alfalfa Sprouts,Let&#39;s Grow Healthy Together,12/2011
Potential risk is associated with certain AVEA ventilators and affected replacement parts,CareFusion,AVEA Ventilators,AVEA,12/2011
Undeclared soy,Market Basket,White Albacore Tuna,Market Basket,12/2011
Difficulty disconnecting the device from connectors,Smiths Medical,Tracheostomy tubes,"Bivona, FlexTend, Aire-Cuf",12/2011
Erratic nitric oxide monitor readings.,"Ikaria, Inc.",INOMAX DS Drug-Delivery System,INOMAX,12/2011
Salmonella,Green Valley Food Corp.,Sprouts,Let&#39;s Grow Healthy Together,12/2011
Undeclared Peanuts,"Eillien&#39;s Candies, Inc.",Yogurt Raisins and Granola Mix,"Royal Snacks, Nutty Bros, Eillien&#39;s, more",12/2011
May not dissolve as quickly as intended,McNeil,Motrin IB Coated Tablets and Motrin IB Coated Caplets,Motrin,12/2011
Salmonella,"Cal Fresco, LLC",Jalapeño and Serrano chili peppers,Cal Fresco,12/2011
Undeclared Egg,Price Chopper Supermarkets,Flavored Cheesecakes,Price Chopper,12/2011
Salmonella,Eclectic Institute,Dietary Supplements,Eclectic Institute,12/2011
Undeclared Milk,Gollo Desserts Bakery,Dominican Bread,Gollo,12/2011
"Undeclared Milk, Soy, Wheat, Tree Nuts , Peanuts",Popcorn Palace,Snack Products,Popcorn Palace,12/2011
Salmonella,Swanson Health Products,Organic Celery Seed,Swanson,12/2011
Salmonella,"B&amp;M, Inc.",Organic Celery Seed,O Organics,12/2011
"Undeclared Milk, Soy and Wheat",Velvet Creme Popcorn Co.,Snack Products,Velvet Creme Popcorn,12/2011
Undeclared Milk,"Ohio Processors, Inc.",Whipped Topping,B/C Topping,12/2011
Aflatoxin,"Petrus Feed and Seed Stores, Inc.",Dry dog food,Petrus,12/2011
Potential equipment malfunction,"St. Jude Medical, Inc.",Silicone Endocardial Defibrillation Leads,"Riata, Riata ST",12/2011
Undeclared soy,Rising Moon Organics,Ravioli,Rising Moon Organics,12/2011
Possible metal contamination,"Winn-Dixie Stores, Inc.",Gummy Bears,Sunrise,12/2011
may contain high levels of aflatoxin,Cargill Animal Nutrition,Poultry and Calf whole and cracked corn products,"Naturewise, Producer&#39;s Pride, Dumor &amp; Showmaster",12/2011
Salmonella,Starwest Botanicals,Organic Celery Seed,Starwest,12/2011
Aflatoxin,Advanced Animal Nutrition,Dry dog food,Dog Power,12/2011
Aflatoxin,"O&#39;Neal&#39;s Feeders Supply, Inc.",Dry dog food,Arrowbrand,12/2011
Presence of glass fragments,Crystal Geyser Water Company,Iced Tea,Tejava,12/2011
Salmonella,Pacific International Marketing,Cilantro,Pacific International Marketing,12/2011
Aflatoxin,Advanced Animal Nutrition,Dry dog food,Dog Power,12/2011
Undeclared Egg,"Rhee Bros., Inc.",Korean Rice Cake,ASSI,12/2011
Undeclared milk,Mars Food US,Whole Grain Rice,UNCLE BEN&#39;s,12/2011
Aflatoxin,Procter &amp; Gamble Company,Dry dog food,Iams,12/2011
Aflatoxin,Cargill Animal Nutrition,Dry dog food,"River Run, Marksman",12/2011
Undeclared peanuts,"See’s Candies, Inc.",Almond Clusters,See&#39;s Candies,12/2011
Listeria monocytogenes,Flying Food Group,Sandwiches,Race Trac,12/2011
Listeria monocytogenes,"Fair Oaks Dairy Products, LLC",Multiple varieties of cheese,Fair Oaks Farms Fine Cheese,12/2011
Listeria monocytogenes,Golden Glen Creamery,Northwest Mushroom Trio Butter &amp; Herbes de Provence Butter,Golden Glen Creamery,12/2011
Undeclared almonds,Krasdale Foods Inc.,Crispy Honey Oats &amp; Flakes,Krasdale,12/2011
Potential for presence of visible particulates,"Eagle Pharmaceuticals, Inc.",Argatroban Injection,Argatroban,12/2011
Presence of metal fragments,Ocean Spray,Original Flavor Craisins® Dried Cranberries,Craisins,12/2011
Presence of small aluminum flakes,Flowers Foods,Butterbread,Nature&#39;s Own,12/2011
Salmonella,Front Row Produce LLC,Grape Tomatoes (10 oz clamshell containers and 10 lb bulk boxes),Front Row Produce,11/2011
Presence of metal fragments,Ocean Spray,Original Flavor Craisins Dried Cranberries,Ocean Spray,11/2011
Product does not meet quality standards,"Giant Eagle, Inc.",Canned pumpkin,"Valu Time, Food Club",11/2011
Undeclared milk,Maxipan Bakery Corp.,&quot;Semita De Pina&quot; (Sweet Pineapple Cake),Maxipan Bakery,11/2011
Listeria monocytogenes,King &amp; Prince Seafood Corp.,"Nova Style Cold Smoked Salmon, Sable Fish Lox, Salmon Sushi Fillets and Salmon Trim","Trans Ocean, Vital Choice, Portico Prime, Portico Bounty, Rain Coast, Mrs. Friday&#39;s, King &amp; Prince, Shirakiku, Cascade Select, Salmon Bay, New Wave, Sockeye Teien",11/2011
Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,Boyal Dry Fish,Noya,11/2011
"Undeclared wheat, coconut, milk, eggs and sodium bisulfite",Caribbean Rum Balls,Rum Balls,Caribbean Rum Balls,11/2011
Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,Churi Dry Fish,Munia,11/2011
Listeria monocytogene,"Trans-Ocean Products, Inc.",Smoked Salmon,transOCEAN,11/2011
Undeclared Dairy,Rio Grande Imports Inc.,Semita de Piña (Pineapple Jam filled Pastry),El Triunfo,11/2011
Undeclared Milk,Maumee Valley Vending Company,Buffalo Chicken Wedge Sandwiches,Maumee Valley Vending Co.,11/2011
Undeclared Milk,Diamond Crystal Brands Inc.,Non-Dairy Coffee Creamers,GFS,11/2011
Clostridium botulinum,"United Natural Foods, Inc.",Black Bean Tortillas,Gentes Foods,11/2011
Salmonella,J.M. Smucker Company,Natural Peanut Butter Chunky,Smucker&#39;s,11/2011
Presense of silicone oil residue,CooperVision,Contact Lenses,Avaira,11/2011
E. coli O157:H7,"Ready Pac Foods, Inc.",Bagged Salad Products,"Ready Pac, Trader Joe&#39;s, Raley&#39;s, Others",11/2011
Clostridium botulinum,"United Natural Foods, Inc.",Stuffed Olives,FoodMatch Inc. Divina,11/2011
Clostridium botulinum,"United Natural Foods, Inc.",Black Bean Tortillas,Gentes Foods,11/2011
Contains undeclared drug ingredient sulfoaildenafil,"Keime, Incorporated",Virility Max Dietary Supplement,Virility Max,11/2011
Clostridium botulinum,"United Natural Foods, Inc.",Stuffed Olives and Bean Soup,"FoodMatch Inc. Divina, Tabatchnick",11/2011
Enterobacter sakazakii,Kimberly-Clark,Tampons,Kotex,11/2011
Listeria monocytogenes,Golden Glen Creamery,Raw Cheddar,Golden Glen Creamery,11/2011
Undeclared milk,Rice-A-Roni,Rice Pilaf,Rice-A-Roni,11/2011
Clostridium botulinum,"Pure Italian, LLC",Olives Stuffed with Almonds,Bio Gaudiano,11/2011
Norovirus,Korean Farms Inc.,Oysters,Assi,11/2011
Salmonella,"Badia Spices, Inc.",Pine Nuts,Badia,11/2011
Unevicerated fish poses a potential botulism hazard,Quirch Foods Company,Salted Smoked Split Herring,Leslie Leger and Sons Ltd.,11/2011
Salmonella,Sunrise Commodities,Pine nuts,Sunrise Commodities,11/2011
Clostridium botulinum,"Foremost Foods International, Inc.",Smoked Seafood Products,Pangasinan,11/2011
Clostridium botulinum,"Pure Italian, LLC",Olives Stuffed with Almonds,Bio Gaudiano,11/2011
Pseudomonas Luteola,Purity Cosmetics,Eye Shadow,100% Pure,10/2011
Bacillus cereus,Rite Aid,Cookies,Rich Fields,10/2011
Undeclared Cashews,"Rhythm Superfoods, LLC",Kale Chips,"Rhythm Superfoods, LLC",10/2011
